ind,index,year,version,page,paragraph,2500Bott,singlebott,stage,scarcity,nonuniform progress,performance constraints,user heterogeneity,cognitive,external,internal,coordination,transcational,technical,demand,2500partner,singlepartner,content production,data center/storage,Internet infra,content distribution,"browsers, apps & smart devices",advertising,end users,external partners,substitutional partners,bott list,bott_list,nonuniform_progress,performance_constraints,user_heterogeneity,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",end_users,external_partners,substitutional_partners,transactional
0,120.0,2007.0,October-November-2007,26.0,"While the text in this version of the Bible is formatted to fit the screen, Skyward has also developed a format for magazines that shows the original layout and then allows users to zoom in on different sections they want to read. Additional capabilities they’ve enabled are things like live chat between multiple users during a live mobile video broadcast, and applications that provide branded experiences around video content.",1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
1,240.0,2007.0,October-November-2007,52.0,"Alkove: From a feature perspective, PlayReady adds support for domains, which allows content to move seamlessly among a user’s devices and PCs. In addition to support for Windows Media codecs, PlayReady also supports non-Windows Media codecs such as H.264 and AAC, and non-audio/visual content like bitmaps for backgrounds, games, maps, and ringtones, which differentiates it from existing technologies in the marketplace today. A very important point is that PlayReady is backwards-compatible with Windows Media DRM 10. As a result, device manufacturers can build PlayReady devices that are compatible with existing Windows Media DRM 10 content and services such as Napster, CinemaNow, Amazon, MovieLink, and so on.",2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2,280.0,2007.0,October-November-2007,56.0,"RealNetworks Helix Security Originally touted as a solution to address a variety of file DivX has done a great job of licensing their core DRMand codec technology to numerous different devices,portable media players, and DVD manufacturers to furthersupport the playback of encrypted DivX content beyondthe PC.However, they have not done a very good job oflicensing the technology out to third parties, and to datethere are no major media outlet licensees of the platform.For more information on DivX Open Video System, see http://www.divx.com/company/partner/ovs.php.",3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
3,320.0,2007.0,October-November-2007,64.0,"He adds, “Regarding QuickTime track swapping for MP4 or MOV movies, if I have a good (perhaps screener) version with OK video but a non-English audio track and also a cam version with an OK English audio track, I can use the Add/Delete track facility of QuickTime Pro to combine the desired tracks of each into a good video/English audio movie without recompressing.”",4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
4,360.0,2007.0,October-November-2007,66.0,"Typically, consumer video websites process video files in a fairly straightforward fashion: A user uploads a video file, the file is transcoded to acommon format (Flash, for example), and then, when a viewer clicks on alink to view a program, the content is progressively downloaded to the viewer. In most cases, video is viewed on-demand as opposed to being streamed live, and it is accessed by individuals one at a time with limited or no interactivity between the creator and viewer. Additionally, in the consumer market place, video is distributed over the public internet with minimal concern for publishing control and content security.",5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
5,400.0,2007.0,October-November-2007,74.0,"Companies like ROO and Babelgum are making investments in P2P technology to try to bypass infrastructure constraints. ROO recently purchased P2P assets fromWurld Media and is “integrating them into the core technicalarchitecture to be able to maneuver through the current challenging state of broadband infrastructure in emerging markets,” according to CEO Rob Petty.",6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6,440.0,2007.0,October-November-2007,82.0,"But Mulvany points out that even though his videos are not making money directly from pre-rolls, they are being supported by general site banner ads and embedded ads. “You can package ads around your video content. We used to do everything in QuickTime, but now that we’re using Flash, we can embed video right in a page. So you can have an ad adjacent to the video window. But doing pre-rolls, that requires investment. Someone has to produce the video ads.You have to hire producers, and that’s financially risky.”",7.0,0.0,"1,2",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
7,520.0,2007.0,October-November-2007,96.0,"Cross-Platform Support is Critical Adobe Flash Video—which has been a critical enablerin the explosion of video on the web—exemplifies strongcross-platform support.I believe that Adobe’s consistenthigh-quality implementation of Flash Video on bothWindows and Macs is a key reason for Flash Video’snear-ubiquitous adoption by web video sites.In contrast,I believe that the limited-effort, cross-platform supportthat Microsoft gives to Windows Media on Mac andApple gives to QuickTime on Windows is the reasonthese formats have not achieved similar adoption byvideo providers.",8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
0,120.0,2008.0,October-November-2008,33.0,"Crowe: We will certainly be very competitive on price. However, we have two other major advantages over most of the new entrants: scale and quality. We expect that many of the newer entrants will struggle to achieve a sustainable business model and, at the same time, provide the large and rapidly growing capacity that larger object (i.e., video) CDNs require. The customers we talk to are increasingly concerned about a provider’s ability to scale—today and more importantly tomorrow. We have already answered the question of our ability to scale. With regards to quality, we are use[d] to building and operating very large IP networks. We know how to operate them while keeping the performance and availability levels very high. All of the independent performance measures on our traditional services as well as our CDN places our products amongst the best performing in the industry.",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1,160.0,2008.0,October-November-2008,45.0,"When Kedersha first starting producing videos for the internet, he followed an age-old adage: Fish where the fish already are. “A lot of my decisions had to do with what the trends were, like doing Windows tips-andtricks videos when everybody was jumping onto that bandwagon. Then I’d do a parody video like ‘How To Turn On Your Computer.’ And in response to a bunch of other hoax videos, I made one about the potatopowered MP3 player,” he says. By doing this, he was able to catch the wave of consumer interest as he established his audience and his voice, eventually leading him to earn more than $100,000 from the Metacafe Producer Rewards program.",1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2,200.0,2008.0,October-November-2008,52.0,"We see renewed growth opportunities for technologies that enable the productive use of online video. For the companies that make a living technologies, selling web video that’s a welcome case of déjà vu.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
3,280.0,2008.0,October-November-2008,66.0,"That said, even seasoned salespeople may need coaching when it comes to selling advertisers on internet streaming and explaining to clients what the process entails. Ma says that “one of the challenges has been educating our salespeople to be able to take that out to our clients and let them know what streaming is.” ",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
4,320.0,2008.0,October-November-2008,70.0,"In these initial tests, I used a VP6-S file encoded in On2 Flix Pro. Later, I’ll discuss the differences between VP6-S and VP6-E and make some recommendations regarding their respective use. I produced all files at 2Mbps with variable bitrate encoding and used InletSemaphore to analyze the files and make sure that their maximum data rates were similar, since Waggoner was concerned that extraordinary peaks in any file would unfairly increase the decompression and playback load. ",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
5,400.0,2008.0,October-November-2008,86.0,"Ultimately, the joy in seeing your videos go for a walk comes from having others interact with the stories and, inturn, sharing stories of their own. I can’t wait to see that television pilot that should have made it or Grandma telling stories on Christmas morning. Start sharing, and enjoy the conversations you start.",1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0,80.0,2009.0,October-November-2009,17.0,"Once again, we don’t have any actual data from YouTube to prove its point; we just have to take YouTube’s word for it. It does say that the 3%–5% number is old and wrong, but it doesn’t share with us what the accurate number actually is. I would agree with YouTube that the number of monetized views is what’s most important, but you also have to take the volume of monetized views into account as well. Monetization only works as a business model if the volume of videos you get revenue from is large enough to support your business. Also, when YouTube says something has “more than tripled,” that really means nothing to us without numbers. It sounds good, but what’s the base number it was working off of that actually tripled?",1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,160.0,2009.0,October-November-2009,30.0,"“Today’s ‘TiVo generation’ [members] are comfortable watching most content on their own schedule,” Aquilone says. “There’s also a lessened demand for immediate feedback, which increases the likelihood of more prerecorded presentations, as the content originators don’t feel compelled to do all their events live, instead providing an email address and asking for feedback. Having said that, for live events, we find we get much better interaction than we do from a physical meeting. When a presenter at a physical meeting may get nine questions, a live streamed event may generate 99 questions or comments.”",1.0,1.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,240.0,2009.0,October-November-2009,38.0,"Some video producers are concerned about this trend.“Leave video production to the professionals,”they say.But their complaints are quickly being brushed aside in the face of overwhelming demand by an ever-growing number of users that are enthusiastically adopting the concept.Similar warnings were voiced years ago when desktop publishing first became available,shortly followed by desktop presentation creation tools such as Aldus Persuasion and Microsoft PowerPoint.Professional graphics designers identified early challenges:“There are ten typefaces per page”and “These are unreadable slides—they’re not created by artists.” While they had a point—there is no substitute for good design—the reality was that “business-based”end users became increasingly adept,and the applications became pervasive.As a result, internal business typesetting and presentation production is now the norm. So to video professionals blocking EGC we say,“It’s better to join now because there’s no turning back.User demand for EGC is growing exponentially and is indicative of historical ommunication and collaboration adoption patterns!”",1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,400.0,2009.0,October-November-2009,56.0,"Simple taxonomies are fine for static content that is finely structured.But what about video clips, which are by nature only partially structured?Jörg Waitelonis, a Ph.D.student in Germany, is creating Yovisto, anacademic video search engine to catalog semistructured content suchas recordings of lectures and seminars.",1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,440.0,2009.0,October-November-2009,59.0,"“Our core goal is to help people find moving images,”says Jackson, “but we’ve found we had to move wellbeyond user interfaces to the creation of effectivemetadata tools and interfaces.”",1.0,1.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,40.0,2010.0,October-November-2010,10.0,"Diversity Streaming Media Europe offers a chance towatch trends through the lens of a geographysmaller than the U.S.but far more diverse—anddivergent—in terms of language and culturalfootprint.From the U.K.and host country Englandto select companies and representatives from keyEuropean Union states, Streaming Media Europeshowcases public TV, premium content, andsocial media upstarts on an equal stage.",1.0,1.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
1,80.0,2010.0,October-November-2010,20.0,"Funny or Die’s ability to go from concept toposting quickly is another key to its success.McKay says he was driving in the car when heheard a John McCain campaign ad thatcompared Barack Obama’s celebrity status withParis Hilton’s.“I was like, ‘Oh, checkmate, myfriend,’ and I got on the phone with [Hilton’s]agent, and everything was done in a few days.”",1.0,1.0,2.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,120.0,2010.0,October-November-2010,28.0,"There is also a new category of service offering emerging quickly: clouds. In some ways, the traditional CDN could be viewed as a PaaS (platform as a service) offering platforms for content distribution and hosting in the same way that Amazon’s CloudFront offers web or database hosting. ",1.0,1.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
3,240.0,2010.0,October-November-2010,45.0,"Whether your video library includes thousands of files, or yours is one of the many organizations looking to reduce costs by using online video for communications and training, the Accordent Media Management System Express includes everything – application servers, high-performance platform and Accordent’s award-winning, automated software – that you need to be up and running in record time.",1.0,1.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,0.0,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,280.0,2010.0,October-November-2010,49.0,"“There’s a very unique idea in Adobe’s approach to multicasting,” said Pulier, “in which native multicast works together with application level multicasting. If a certain corporate office needs a low bandwidth (e.g., 400Kbps) due to its current bandwidth constraints, there’s no reason to penalize the rest of the viewers who are on a multicast-enabled portion of the network. The ability to send both high-bandwidth IP multicast and varying bandwidth peer-assisted multicast is one of FMS 4’s strong points.”",1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0,40.0,2011.0,October-November-2011,18.0,"From Facebook to Twitter, blogs to Kickstarter, the internet has given music artists no shortage of engagement tools to connect with their fans, but those same tools can keep fans at a virtual arm’s length, with higher levels of engagement limited to the high-ticket VIP deals that garner a hurried meet-and-greet backstage. Multiplatinum rock band Incubus decided to ratchet that kind of connection up more than a few levels. For the week leading up to the release of its first new studio album in 5 years, the band and its crew turned a warehouse space in Los Angeles into a high-tech agora, where hundreds of aficionados chosen from its fan clubs converged to meet the band members, watch them rehearse and perform, participate with them on art projects using six large white canvases placed in the room and on instrument clinics, and just do an extended hang with their heroes. Using a range of streaming and internet platforms and technologies, Incubus was able to project that experience to an estimated 2 million additional fans around the world, making Incubus HQ Live a multifaceted multimedia experience.",1.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,240.0,2011.0,October-November-2011,62.0,"1.The basics—price and operating system.Be sure to determine how pricing is scaled.For example, the base version of Cerify canonly analyze a single stream at a time, whichmay work in small shops, but it might beinsufficient for large-scale operations.",1.0,0.0,2.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,280.0,2011.0,October-November-2011,72.0,"Encoding.com is probably the best known cloud-based encoding service. Files can be easily uploaded from a simple browse tool or can be added via a desktop application that includes encoding presets and drag-and-drop upload. The company supports huge numbers of file types for ingest and delivery. The user can control nearly every aspect of the encoding process from bitrate to video dimensions and output to multiple formats from H.264 through MPEG-2. Mobile output is easily configured for iOS devices as well as some Android and BlackBerry devices. Adaptive bitrate encoding is supported for iPad/iPhone at as many bitrates as the customer chooses. After transcoding, the user can have the files delivered to any of the major CDNs, or the files can be delivered via FTP to wherever the user desires. It is interesting to note that the company is the only video encoding service integrated with Rackspace and Amazon Web Services. Encoding.com pricing is monthly or pay as you go, or it can be customized for large-volume transcoding needs.",1.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,0.0,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
3,360.0,2011.0,October-November-2011,84.0,"But the set-top box for streaming media has been a headache for at least a decade. First, there is an expectation that a STB should cost about $100. That was true in 2001, and it is still the case. The expectation stems from con- sumer price points for cable TV STBs that are not only purchased in 100,000 unit volume by the cable TV operators but are subsidized by recurring cable TV revenues and service con- tract periods. Unless you are buying by the pallet-load, the STB manufacturers generally won’t talk to you. But you can buy smaller quantities of what they make, as long as you can live with the functions they built in for the large cable TV operator. You can’t expect the STB to behave like a PC or browser, nor should you—it is designed to operate with an infrared remote control, and every STB handles the keycodes differently. Expect only one format to be supported, typically not the one you need. It gets worse. The STB will typically have a life of 1 or 2 years, and then it will be discontinued and replaced by an incompatible model.",1.0,1.0,2.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,0.0,,,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
0,40.0,2012.0,October-November-2012,18.0,"Mobile streaming was available, thanks to those Adobe apps, and Cordella found a strong desire for mobile access. In the first week of the games, streaming video traffic to the apps was higher than streaming video traffic to standard web browsers. ",1.0,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,

0,80.0,2013.0,October-November-2013,18.0,"The Birth of Drunk History “The show started when my partner Derek Waters came to me to help him make this video for his live show that he did at the Upright Citizens Brigade Theatre in Hollywood,” Konner said. “He said, ‘I want to film somebody drunk and then let’s re-enact what they said, someone drunk telling a story.’ And I thought that was hilarious and we went ahead and did it.”",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0
1,160.0,2013.0,October-November-2013,30.0,"That said, 40% of respondents still believe in the advertising-supported model, with about the same proportion agreeing it will still be most successful in 5 years. Looking at what drives the business of OTT, nearly half of industry executives (49%) think it will attract interest in programming lineups, bringing in new subscribers, while 38% think OTT will increase profitability. A third of respondents say OTT will help retain existing subscribers, and a third say it will enhance a business’s competitive profile.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0
